iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
1,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.500488,0.000687,0.000687,0.000214,0.123795,0.123642
6,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.500488,0.000687,0.000687,0.000214,0.123795,0.123642
11,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.500488,0.000687,0.000687,0.000214,0.123795,0.123642
16,0.311005,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.449982,0.000687,0.000687,0.000214,0.111313,0.111176
21,0.311020,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.455093,0.000687,0.000687,0.000214,0.112579,0.112442
26,0.311050,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.439453,0.000687,0.000687,0.000214,0.108719,0.108566
31,0.311035,-0.000046,-0.080978,0.315994,-0.000031,-0.080994,0.503922,0.018921,-0.018005,0.005905,0.119843,0.123444
36,0.311066,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,0.425797,0.004730,-0.039673,0.001480,0.095001,0.102936
41,0.311111,-0.000046,-0.080948,0.315994,-0.000031,-0.080994,0.405197,0.002213,-0.059509,0.000702,0.084824,0.096725
46,0.311188,-0.000046,-0.080902,0.315994,-0.000031,-0.080994,0.275803,0.002213,-0.175323,0.000687,0.023178,0.058258
51,0.311218,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.345078,0.002213,-0.087357,0.000702,0.062805,0.080307
56,0.311279,-0.000046,-0.080872,0.315994,-0.000031,-0.080994,0.329361,0.002213,-0.059128,0.000702,0.066162,0.078003
61,0.311310,-0.000046,-0.080856,0.315994,-0.000031,-0.080994,0.371628,0.002213,-0.070496,0.000702,0.073669,0.087799
66,0.311417,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,0.235291,0.002213,-0.256729,0.000687,-0.007767,0.043594
71,0.311462,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.268478,0.002213,-0.109940,0.000687,0.038055,0.060074
76,0.311508,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.314713,0.002213,-0.035782,0.000702,0.068481,0.075684
81,0.311569,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.323944,0.002213,-0.100327,0.000702,0.054184,0.074295
86,0.311646,-0.000046,-0.080688,0.315994,-0.000031,-0.080994,0.206451,0.002213,-0.253448,0.000687,-0.014114,0.036591
91,0.311676,-0.000046,-0.080688,0.315994,-0.000031,-0.080994,0.320358,0.002213,-0.067825,0.000702,0.061615,0.075241
96,0.311783,-0.000046,-0.080658,0.315994,-0.000031,-0.080994,0.138702,0.002213,-0.098114,0.000687,0.009018,0.028656
101,0.311813,-0.000046,-0.080627,0.315994,-0.000031,-0.080994,0.297699,0.002213,-0.120392,0.000702,0.042496,0.066635
106,0.311905,-0.000046,-0.080597,0.315994,-0.000031,-0.080994,0.110245,0.002213,-0.140610,0.000687,-0.008942,0.019196
111,0.311981,-0.000046,-0.080551,0.315994,-0.000031,-0.080994,0.130539,0.002213,-0.183411,0.000687,-0.014954,0.021759
116,0.312027,-0.000046,-0.080536,0.315994,-0.000031,-0.080994,0.212250,0.002213,-0.103226,0.000687,0.025787,0.046494
121,0.312073,-0.000046,-0.080490,0.315994,-0.000031,-0.080994,0.264206,0.002213,-0.131836,0.000702,0.031235,0.057663
126,0.312149,-0.000046,-0.080475,0.315994,-0.000031,-0.080994,0.225449,0.002213,-0.099716,0.000687,0.029922,0.049927
131,0.312210,-0.000046,-0.080460,0.315994,-0.000031,-0.080994,0.159378,0.002213,-0.131454,0.000687,0.005463,0.031799
136,0.312241,-0.000046,-0.080444,0.315994,-0.000031,-0.080994,0.287476,0.002213,-0.102310,0.000702,0.044525,0.065063
141,0.312286,-0.000046,-0.080444,0.315994,-0.000031,-0.080994,0.284042,0.002213,-0.062485,0.000702,0.053925,0.066498
146,0.312332,-0.000046,-0.080429,0.315994,-0.000031,-0.080994,0.194550,0.002213,-0.091934,0.000687,0.024277,0.042725
151,0.312378,-0.000046,-0.080414,0.315994,-0.000031,-0.080994,0.217896,0.002213,-0.080414,0.000687,0.032990,0.049133
